"Artificial Intelligence","ChatGPT","Dialogue optimized model","https://chat.openai.com/chat"
"Artificial Intelligence","GitIngest","AI-powered tool to query and analyze your Git repositories for insights and understanding.","https://gitingest.com/"
"Artificial Intelligence","NotebookLM","AI-powered tool from Google for creating structured notes and assisting with research.","https://notebooklm.google.com/"
"Colors","Color Designer","Several useful tools including conversion between color models, color palette from image, and a visually appealing gradient generator","https://colordesigner.io/"
"Colors","Colors stacks","A color palette generator for design systems","https://lokeshdhakar.com/projects/color-stacks/"
"Colors","Tailwind CSS Color Generator","Tool for generating and customizing Tailwind color palettes; includes paid features","https://uicolors.app/create"
"CSS to copy","Beautiful CSS box-shadow examples","Box shadow examples to copy","https://getcssscan.com/css-box-shadow-examples"
"CSS to copy","Clippy","A tool for creating and copying custom CSS shapes using `clip-path`.","https://bennettfeely.com/clippy/"
"CSS to copy","CSS Loaders","Pre-made CSS loaders that you can copy and customize for your projects.","https://css-loaders.com/classic/"
"CSS to copy","Fancy Border Radius","Interactive tool for creating complex border-radius shapes with CSS.","https://9elements.github.io/fancy-border-radius/"
"CSS to copy","Neumorphism.io","Generate and copy CSS for neumorphic designs.","https://neumorphism.io/#e0e0e0"
"Data transform and visualization","CSV to JSON","Transform CSV content to JSON arrays","https://csvjson.com/"
"Data transform and visualization","DiffChecker","Compare two different files line by line","https://www.diffchecker.com/"
"Data transform and visualization","JSON Crack","Visualize your JSON data instantly into graphs","https://jsoncrack.com/"
"Data transform and visualization","JSON to CSV","Transform JSON data to CSV file","https://csvjson.com/json2csv"
"Data transform and visualization","JSON to TypeScript","Instantly generate TypeScript interfaces from JSON.","https://quicktype.io/typescript"
"Data transform and visualization","Mr. Data Converter","Convert spreadsheet data into JSON, XML, SQL and more","https://shancarter.github.io/mr-data-converter/"
"Data transform and visualization","QuickChart","API for generating charts and visualizations via URL","https://quickchart.io/sandbox"
"Diagrams","dbdiagram.io","Draw Entity-Relationship Diagrams, Painlessly","https://dbdiagram.io/d"
"Diagrams","Excalidraw","Create sketch hand-drawn-like diagrams","https://excalidraw.com/"
"Diagrams","GitDiagram","Generate visual diagrams to represent Git branches and commit history.","https://gitdiagram.com/"
"Diagrams","Markmap","Build interactive mindmaps using markdown","https://markmap.js.org/repl"
"Diagrams","Mermaid live editor","Create and share diagrams using markdown language","https://mermaid-js.github.io/mermaid-live-editor/edit"
"Diagrams","Mind Meister","Tools for easily create mind maps ","https://www.mindmeister.com/"
"Guides","Advanced Bash-Scripting Guide","An in-depth exploration of the art of shell scripting","https://tldp.org/LDP/abs/html/"
"Guides","Easing Functions Cheat Sheet","Explanation and demonstrations of numerous easing functions","https://easings.net/"
"Image manipulation","Carbon","Create beautiful images of your source code for sharing","https://carbon.now.sh"
"Image manipulation","Cleanup Pictures","Remove unwanted objects from photos","https://cleanup.pictures/"
"Image manipulation","favicon.io","Create favicons using text, images or emojis","https://favicon.io/"
"Image manipulation","Image Resizer","Resize images online without loss of quality","https://imageresizer.com/"
"Image manipulation","Remove.bg","Remove image backgrounds automatically","https://www.remove.bg/pt-br/upload"
"Image manipulation","Squish","Compress and convert images to AVIF, JPEG, JPEG XL, PNG, or WebP formats, powered by Squoosh","https://squish.addy.ie/"
"Image manipulation","SVGOMG","Optimize and minify SVG files easily with a user-friendly interface","https://jakearchibald.github.io/svgomg/"
"Image manipulation","SVG Optimizer","Minify svg files","https://svgoptimizer.com/"
"Image manipulation","SVG to PNG","Converts svg files to png","https://svgtopng.com/"
"Image manipulation","SVG Viewer","SVG to png, react, data uri and more","https://www.svgviewer.dev/"
"Image manipulation","Tiny png","Minify jpg, png and webp images","https://tinypng.com/"
"Regex","AutoRegex","Convert from English to RegEx with Natural Language Processing","https://www.autoregex.xyz/"
"Regex","Debuggex","Visual tool for building and debugging regular expressions","https://www.debuggex.com/"
"Regex","Regex101","Build, test and debug regular expressions","https://regex101.com/"
"Regex","Regexper","Visualize regular expressions","https://regexper.com/"
"Regex","Regexr","Create and test regular expressions (alternative to regex101)","https://regexr.com/"
"REPL","Google Colab","Run Python snippets online","https://colab.research.google.com/"
"REPL","Jasmine template for Codepen","Template for using Jasmine on codepen","https://codepen.io/teles/pen/aKrBrg"
"REPL","PHP CLI","Compile and test PHP code","https://replit.com/languages/php_cli"
"REPL","Prettier Playground","Online tool for automatic code formatting","https://prettier.io/playground/"
"REPL","Typescript playground","Typescript online REPL","https://www.typescriptlang.org/play"
"Screen Recording","asciinema","Record and share terminal sessions","https://asciinema.org/"
"SEO","Bulk Redirect Checker Tool","Check multiple redirects","https://www.redirect-checker.org/bulk-redirect-checker.php"
"SEO","LinkedIn Post Checker","Check metadata for your page","https://www.linkedin.com/post-inspector/inspect/teles.dev.br"
"SEO","Rich Results","Check your structured data","https://search.google.com/test/rich-results"
"Text manipulation","Convertio","File conversion, including CSV, JSON, XML, and more","https://convertio.co/pt/"
"Text manipulation","Emojipedia","Emojis list for copy and paste","https://emojipedia.org/"
"Text manipulation","Remove duplicated lines","Remove duplicated lines and sort text lines","https://www.textfixer.com/tools/remove-duplicate-lines.php"
"Web Development Utilities","CORS Test","Check CORS support on APIs and servers instantly.","https://cors-test.codehappy.dev/"
"Web Development Utilities","Mocky Designer","Create and customize mock APIs instantly, with options to design and share JSON responses.","https://designer.mocky.io/design"
"Web Development Utilities","ReqBin","Online tool for testing HTTP requests, including GET, POST, PUT, and DELETE, directly in the browser.","https://reqbin.com/"
